r,sr,st
7.799600e+00,-5.314426e+08,-3.708830e+08
7.817635e+00,-5.310726e+08,-3.712530e+08
7.835671e+00,-5.307051e+08,-3.716205e+08
7.853708e+00,-5.303402e+08,-3.719854e+08
7.871743e+00,-5.299778e+08,-3.723478e+08
7.889780e+00,-5.296179e+08,-3.727077e+08
7.907816e+00,-5.292604e+08,-3.730652e+08
7.925851e+00,-5.289054e+08,-3.734202e+08
7.943888e+00,-5.285527e+08,-3.737729e+08
7.961924e+00,-5.282025e+08,-3.741231e+08
7.979959e+00,-5.278547e+08,-3.744709e+08
7.997996e+00,-5.275092e+08,-3.748164e+08
8.016032e+00,-5.271660e+08,-3.751596e+08
8.034068e+00,-5.268251e+08,-3.755005e+08
8.052104e+00,-5.264866e+08,-3.758390e+08
8.070141e+00,-5.261502e+08,-3.761754e+08
8.088176e+00,-5.258162e+08,-3.765094e+08
8.106213e+00,-5.254844e+08,-3.768412e+08
8.124249e+00,-5.251547e+08,-3.771709e+08
8.142284e+00,-5.248273e+08,-3.774983e+08
8.160320e+00,-5.245020e+08,-3.778236e+08
8.178357e+00,-5.241789e+08,-3.781467e+08
8.196392e+00,-5.238579e+08,-3.784677e+08
8.214429e+00,-5.235390e+08,-3.787866e+08
8.232465e+00,-5.232223e+08,-3.791034e+08
8.250501e+00,-5.229076e+08,-3.794180e+08
8.268537e+00,-5.225949e+08,-3.797307e+08
8.286573e+00,-5.222843e+08,-3.800413e+08
8.304609e+00,-5.219757e+08,-3.803499e+08
8.322645e+00,-5.216691e+08,-3.806565e+08
8.340681e+00,-5.213645e+08,-3.809611e+08
8.358718e+00,-5.210619e+08,-3.812637e+08
8.376754e+00,-5.207612e+08,-3.815644e+08
8.394790e+00,-5.204625e+08,-3.818631e+08
8.412826e+00,-5.201656e+08,-3.821600e+08
8.430861e+00,-5.198707e+08,-3.824549e+08
8.448898e+00,-5.195777e+08,-3.827479e+08
8.466934e+00,-5.192865e+08,-3.830391e+08
8.484970e+00,-5.189972e+08,-3.833284e+08
8.503006e+00,-5.187098e+08,-3.836158e+08
8.521042e+00,-5.184241e+08,-3.839015e+08
8.539078e+00,-5.181403e+08,-3.841853e+08
8.557115e+00,-5.178582e+08,-3.844674e+08
8.575150e+00,-5.175780e+08,-3.847476e+08
8.593186e+00,-5.172995e+08,-3.850261e+08
8.611222e+00,-5.170227e+08,-3.853029e+08
8.629259e+00,-5.167477e+08,-3.855779e+08
8.647294e+00,-5.164744e+08,-3.858512e+08
8.665331e+00,-5.162028e+08,-3.861228e+08
8.683367e+00,-5.159329e+08,-3.863927e+08
8.701403e+00,-5.156647e+08,-3.866610e+08
8.719439e+00,-5.153981e+08,-3.869275e+08
8.737475e+00,-5.151332e+08,-3.871924e+08
8.755510e+00,-5.148699e+08,-3.874557e+08
8.773547e+00,-5.146082e+08,-3.877174e+08
8.791583e+00,-5.143482e+08,-3.879774e+08
8.809619e+00,-5.140897e+08,-3.882359e+08
8.827655e+00,-5.138329e+08,-3.884928e+08
8.845692e+00,-5.135775e+08,-3.887481e+08
8.863728e+00,-5.133238e+08,-3.890018e+08
8.881763e+00,-5.130716e+08,-3.892540e+08
8.899799e+00,-5.128209e+08,-3.895047e+08
8.917835e+00,-5.125718e+08,-3.897538e+08
8.935872e+00,-5.123241e+08,-3.900015e+08
8.953908e+00,-5.120780e+08,-3.902476e+08
8.971944e+00,-5.118333e+08,-3.904923e+08
8.989980e+00,-5.115901e+08,-3.907355e+08
9.008017e+00,-5.113484e+08,-3.909772e+08
9.026052e+00,-5.111081e+08,-3.912175e+08
9.044088e+00,-5.108692e+08,-3.914564e+08
9.062124e+00,-5.106318e+08,-3.916938e+08
9.080160e+00,-5.103958e+08,-3.919298e+08
9.098196e+00,-5.101612e+08,-3.921644e+08
9.116233e+00,-5.099280e+08,-3.923976e+08
9.134269e+00,-5.096961e+08,-3.926295e+08
9.152305e+00,-5.094657e+08,-3.928599e+08
9.170341e+00,-5.092365e+08,-3.930891e+08
9.188377e+00,-5.090088e+08,-3.933168e+08
9.206412e+00,-5.087824e+08,-3.935433e+08
9.224449e+00,-5.085572e+08,-3.937684e+08
9.242485e+00,-5.083335e+08,-3.939921e+08
9.260521e+00,-5.081110e+08,-3.942146e+08
9.278557e+00,-5.078898e+08,-3.944358e+08
9.296594e+00,-5.076699e+08,-3.946557e+08
9.314629e+00,-5.074513e+08,-3.948743e+08
9.332665e+00,-5.072339e+08,-3.950917e+08
9.350701e+00,-5.070179e+08,-3.953078e+08
9.368737e+00,-5.068030e+08,-3.955226e+08
9.386773e+00,-5.065894e+08,-3.957362e+08
9.404810e+00,-5.063770e+08,-3.959486e+08
9.422846e+00,-5.061658e+08,-3.961598e+08
9.440882e+00,-5.059559e+08,-3.963697e+08
9.458918e+00,-5.057471e+08,-3.965785e+08
9.476954e+00,-5.055396e+08,-3.967860e+08
9.494990e+00,-5.053332e+08,-3.969924e+08
9.513026e+00,-5.051279e+08,-3.971977e+08
9.531062e+00,-5.049239e+08,-3.974017e+08
9.549098e+00,-5.047210e+08,-3.976046e+08
9.567135e+00,-5.045193e+08,-3.978064e+08
9.585170e+00,-5.043187e+08,-3.980069e+08
9.603207e+00,-5.041192e+08,-3.982064e+08
9.621243e+00,-5.039208e+08,-3.984048e+08
9.639278e+00,-5.037236e+08,-3.986020e+08
9.657314e+00,-5.035274e+08,-3.987982e+08
9.675351e+00,-5.033324e+08,-3.989932e+08
9.693387e+00,-5.031384e+08,-3.991872e+08
9.711423e+00,-5.029455e+08,-3.993801e+08
9.729459e+00,-5.027537e+08,-3.995719e+08
9.747496e+00,-5.025630e+08,-3.997626e+08
9.765531e+00,-5.023733e+08,-3.999523e+08
9.783567e+00,-5.021847e+08,-4.001410e+08
9.801603e+00,-5.019971e+08,-4.003285e+08
9.819639e+00,-5.018105e+08,-4.005151e+08
9.837675e+00,-5.016250e+08,-4.007006e+08
9.855712e+00,-5.014404e+08,-4.008852e+08
9.873747e+00,-5.012569e+08,-4.010687e+08
9.891784e+00,-5.010744e+08,-4.012512e+08
9.909820e+00,-5.008929e+08,-4.014327e+08
9.927855e+00,-5.007124e+08,-4.016132e+08
9.945891e+00,-5.005328e+08,-4.017928e+08
9.963928e+00,-5.003542e+08,-4.019714e+08
9.981964e+00,-5.001766e+08,-4.021490e+08
1.000000e+01,-5.000000e+08,-4.023256e+08
